Ho et al. origin time,Reproduced longitude,Reproduced latitude,Reproduced depth (km),Origin time without near source,Latitude without near source,Longitude without near source,Depth without near source (km),Origin time with STAR,Latitude with STAR,Longitude with STAR,Depth with STAR (km)
2003-02-04T22:10:45.482721,161.68441486617303,-75.196650736997,-4.296875,2003-02-04T22:10:45.725082,-75.21255587328004,161.4305552989595,-4.296875,,,,
2003-02-06T07:49:07.600907,160.97386063484532,-76.11527194522745,22.421875,2003-02-06T07:49:07.875992,-78.5922139678628,153.37280557017593,-3.59375,,,,
2003-02-08T07:23:23.023569,160.60643981880858,-75.41843078798463,-4.648438,2003-02-08T07:23:22.206353,-75.40700147787675,160.63725617621148,-4.296875,,,,
2003-02-08T11:07:13.434997,162.0236017783632,-75.11274929994963,64.609375,2003-02-08T11:07:14.152954,-75.04102189152398,162.28595035248063,25.234375,,,,
2003-02-08T14:30:19.724683,160.73385548652928,-75.24104017501264,-4.648438,2003-02-08T14:30:20.625034,-75.0262065318848,161.12506696078816,27.34375,,,,
2003-02-09T08:11:39.074109,161.19837466258844,-75.37588524998762,-4.648438,2003-02-09T08:11:39.155344,-75.37588524998762,161.19837466258844,-4.648438,,,,
2003-02-09T11:57:04.653335,161.20597110198608,-75.34832048864733,-4.648438,,,,,,,,
2003-02-09T12:42:56.654739,160.04785388824575,-75.94152234682723,-4.296875,2003-02-09T12:43:45.894848,-76.98800983826919,158.18065052579956,3.4375,,,,
2003-02-10T00:08:45.399049,161.28143244755836,-75.33600069420733,-4.648438,,,,,,,,
2003-02-10T02:02:49.735392,161.1908919076894,-75.33761491376605,-4.648438,2003-02-10T02:02:49.420765,-75.33518000358323,161.32669514127923,-4.296875,,,,
2003-02-10T11:41:38.784217,161.15682278841362,-75.36289851629626,-4.648438,,,,,,,,
2003-02-11T00:01:40.596765,161.37523216953616,-75.28765267642306,-4.648438,2003-02-11T00:01:41.150258,-75.29383066572501,161.33768256559662,-4.648438,,,,
2003-02-11T02:54:33.249730,160.7957584328533,-75.30310844033866,-4.648438,2003-02-11T02:54:33.375857,-75.29860193806728,160.90501058613964,-4.296875,,,,
2003-02-11T03:20:41.022037,161.10860906922684,-75.24581034110665,60.742188,2003-02-11T03:20:40.721390,-75.34609357343025,161.01722297172577,-4.296875,,,,
2003-02-11T07:05:29.494510,161.3382073487696,-75.35966081112045,-4.648438,2003-02-11T07:05:30.001596,-75.37344553667734,161.33453565706682,-4.296875,,,,
2003-02-11T11:41:39.958804,160.5213760142554,-75.37308634778284,-4.648438,2003-02-11T11:41:40.080548,-75.37779147539108,160.57411761913676,-4.648438,,,,
2003-02-11T11:59:09.631680,160.5917327149886,-75.40768425447979,-4.648438,2003-02-11T11:59:09.976606,-75.41634620385773,160.74309669876308,-4.296875,,,,
2003-02-11T13:04:14.409404,161.17954873127363,-75.34604320031355,-4.648438,,,,,,,,
2003-02-11T17:19:17.577964,160.8744762897469,-75.15929780973417,-4.648438,2003-02-11T17:19:17.684353,-75.28468347198925,160.74742845048576,126.484375,,,,
2003-02-11T20:09:53.730710,161.33768256559662,-75.29383066572501,-4.648438,2003-02-11T20:09:53.963940,-75.2923865887502,161.2662106320708,-4.296875,,,,
2003-02-11T22:46:38.697904,161.31564489756983,-75.37653248406046,-4.648438,,,,,,,,
2003-02-12T03:59:38.389165,161.23240180250906,-75.35059470670052,-3.242188,2003-02-12T03:59:38.724397,-75.3552600718448,161.12286066175238,-4.296875,,,,
2003-02-12T04:26:54.796580,161.12286066175238,-75.3552600718448,-4.296875,,,,,,,,
2003-02-12T22:45:29.280165,161.07593313163707,-75.13945109683435,-4.648438,2003-02-12T22:45:26.979307,-75.28943051927784,161.1233099216037,137.03125,,,,
2003-02-12T22:54:25.495900,161.2550206802398,-75.3337322754806,-4.648438,2003-02-12T22:54:25.561253,-75.34216369268319,161.24371782100616,-4.648438,,,,
2003-02-13T08:13:21.486594,161.87258176694317,-75.31083460917642,69.882812,2003-02-13T08:13:21.975632,-75.2230593999642,161.99970075568496,28.046875,,,,
2003-02-14T06:04:28.178448,161.2661113343985,-75.25947507785128,68.476562,2003-02-14T06:04:27.318845,-75.32610904172346,161.22107514741762,-4.296875,,,,
2003-02-15T08:18:41.562985,160.82294588214094,-75.27251861933156,-4.296875,2003-02-15T08:18:42.212977,-75.28177437643217,160.92792740412906,-4.296875,,,,
2003-02-16T08:14:26.597477,161.49468455414058,-75.24151400433846,69.179688,2003-02-16T08:14:26.525416,-75.34135053216929,161.28900184761127,-3.59375,,,,
2003-02-17T02:48:16.060900,160.78740693102162,-75.33065605166178,-4.648438,2003-02-17T02:48:16.799207,-75.33042532126457,160.62525727737537,-4.296875,,,,
2003-02-19T06:51:05.876694,161.40037035500558,-75.19118033703229,58.984375,2003-02-19T06:51:06.884659,-75.2366703329259,161.60325107294906,59.6875,,,,
2003-02-23T04:30:29.230791,160.85983927108808,-75.29933818906902,-4.648438,2003-02-23T04:30:29.042358,-75.29860193806728,160.90501058613964,-4.296875,,,,
2003-02-23T14:45:04.582205,160.90618164171102,-74.89846326234485,22.773438,2003-02-23T14:45:04.783898,-75.09607081348355,160.5382522054624,-4.296875,,,,
2003-02-25T07:10:07.500340,160.93662977787844,-75.22131618941452,-1.132812,2003-02-25T07:10:07.853196,-75.26494510389789,160.95079132054408,-4.296875,,,,
2003-02-27T02:40:04.167766,161.1428459515577,-75.1547300873731,51.601562,2003-02-27T02:40:05.390527,-75.18077338151221,161.0643235144443,12.578125,,,,
2003-02-27T03:12:44.970281,160.66572437305084,-75.25854375908337,-4.296875,2003-02-27T03:13:16.298513,-76.73422418832038,158.45670039339353,88.515625,,,,
2003-02-27T17:32:56.428700,161.3753837581866,-74.94487555694035,68.828125,2003-02-27T17:32:56.256243,-74.85606436515852,161.432900329621,13.984375,,,,
2003-03-02T05:21:02.885864,160.54089086055683,-75.76219918711148,-1.835938,2003-03-02T05:21:03.276047,-75.19451375418808,160.8997923195514,16.09375,,,,
