channel,phase,time
BHZ,P,2013-10-22T23:24:01.369898
BHN,S,2013-10-24T03:25:42.220632
BHZ,P,2013-10-24T03:25:31.617224
BHN,S,2013-10-24T08:03:45.636374
BHZ,P,2013-10-24T08:03:29.597849
BHN,S,2013-10-24T15:25:07.847283
BHZ,P,2013-10-24T15:24:56.926810
BHN,S,2013-10-26T19:04:48.229247
BHZ,P,2013-10-26T19:04:37.177126
BHN,S,2013-10-27T00:34:24.871859
BHZ,P,2013-10-27T00:34:13.901259
BHN,S,2013-10-29T02:04:51.970104
BHZ,P,2013-10-29T02:04:41.054473
BHN,S,2013-10-30T16:44:58.774517
BHZ,P,2013-10-30T16:44:46.502025
BHN,S,2013-10-31T09:50:52.672482
BHZ,P,2013-10-31T09:50:41.274332
BHN,S,2013-11-02T18:43:04.720226
BHZ,P,2013-11-02T18:42:53.639649
BHN,S,2013-11-04T10:43:12.028678
BHZ,P,2013-11-04T10:43:01.249396
BHN,S,2013-11-04T17:21:47.371331
BHZ,P,2013-11-04T17:21:36.955886
BHN,S,2013-11-04T17:48:37.361478
BHZ,P,2013-11-04T17:48:26.363948
BHN,S,2013-11-06T04:46:08.898070
BHZ,P,2013-11-06T04:45:57.840890
BHN,S,2013-11-08T16:53:25.249853
BHZ,P,2013-11-08T16:53:11.032585
BHE,S,2013-11-09T23:39:44.992540
BHZ,P,2013-11-09T23:39:32.529706
BHN,S,2013-11-10T02:39:45.854938
BHZ,P,2013-11-10T02:39:34.391948
BHN,S,2013-11-12T05:38:37.277425
BHZ,P,2013-11-12T05:38:24.211401
BHN,S,2013-11-17T06:41:18.141602
BHZ,P,2013-11-17T06:41:07.539683
BHN,S,2013-11-17T10:43:39.659892
BHN,S,2013-11-18T19:03:11.162321
BHZ,P,2013-11-18T19:03:00.622117
BHN,S,2013-11-20T03:16:31.285107
BHZ,P,2013-11-20T03:16:20.844931
BHN,S,2013-11-21T15:51:03.281210
BHN,S,2013-11-25T07:03:48.042402
BHZ,P,2013-11-25T07:03:37.643893
BHN,S,2013-11-25T19:40:46.690030
BHZ,P,2013-11-25T19:40:35.784684
BHN,S,2013-11-29T12:56:45.536439
BHZ,P,2013-11-29T12:56:34.497071
BHZ,P,2013-12-03T06:01:26.888848
BHN,S,2013-12-04T23:13:25.284714
BHZ,P,2013-12-04T23:13:14.563838
BHE,S,2013-12-07T05:26:05.552176
BHZ,P,2013-12-07T05:25:51.509315
BHN,S,2013-12-16T16:55:59.018480
BHZ,P,2013-12-16T16:55:48.662792
BHN,S,2013-12-18T21:26:10.008424
BHZ,P,2013-12-18T21:25:59.414131
BHN,S,2013-12-18T21:31:47.554745
BHZ,P,2013-12-18T21:31:33.572722
BHN,S,2013-12-22T16:51:36.818368
BHZ,P,2013-12-22T16:51:26.014395
BHN,S,2013-12-25T20:50:56.806971
BHZ,P,2013-12-25T20:50:46.125731
BHN,S,2013-12-28T21:29:17.953392
BHN,S,2013-12-29T06:01:35.727120
BHZ,P,2013-12-29T06:01:24.906939
BHN,S,2013-12-29T18:18:41.801884
BHZ,P,2013-12-29T18:18:29.632159
BHN,S,2014-01-03T15:57:20.015933
BHZ,P,2014-01-03T15:57:09.005523
BHN,S,2014-01-05T08:20:50.959163
BHZ,P,2014-01-05T08:20:40.240558
BHN,S,2014-01-07T00:18:39.515284
BHZ,P,2014-01-07T00:18:28.260107
BHN,S,2014-01-07T21:01:21.404121
BHZ,P,2014-01-07T21:01:08.941784
BHN,S,2014-01-08T08:49:01.373941
BHZ,P,2014-01-08T08:48:50.667281
BHN,S,2014-01-10T07:45:59.891662
BHZ,P,2014-01-10T07:45:49.293976
BHN,S,2014-01-11T04:46:31.288150
BHZ,P,2014-01-11T04:46:19.526062
BHN,S,2014-01-12T16:31:44.058754
BHZ,P,2014-01-12T16:31:30.889227
BHE,S,2014-01-15T00:11:20.658612
BHZ,P,2014-01-15T00:11:10.628097
BHE,S,2014-01-16T02:35:16.976465
BHZ,P,2014-01-16T02:35:05.215216
BHN,S,2014-01-22T04:47:44.097417
BHZ,P,2014-01-22T04:47:33.070076
BHN,S,2014-01-22T21:37:13.438786
BHZ,P,2014-01-22T21:37:02.788152
BHN,S,2014-01-23T12:04:35.899181
BHZ,P,2014-01-23T12:04:26.810317
BHN,S,2014-01-24T19:13:17.056175
BHN,S,2014-01-25T10:26:45.996313
BHZ,P,2014-01-25T10:26:34.404116
BHN,S,2014-01-26T04:05:30.398857
BHZ,P,2014-01-26T04:05:18.888600
BHN,S,2014-01-29T07:02:39.387772
BHZ,P,2014-01-29T07:02:28.995480
